PacketLength,ArrivalTime,SourceIP,DestinationIP,Protocol,SrcPort,DstPort,TCPFlags,SequenceNum,AckNum,RawDataLength,RawData
431,1617359227.517461,192.144.188.38,150.242.169.100,TCP,7823,64088,PA,1364824064,723492887,377.0,16030300800200007c0303aaf22e3d00fe325a81642bb4b28edaafb16bb6cf384cb36ed7d1b17c845c3d8320a3e57baf7826
60,1617359227.519774,150.242.169.100,192.144.188.38,TCP,64088,7823,A,723492887,1364824441,,
118,1617359227.531245,150.242.169.100,192.144.188.38,TCP,64088,7823,PA,723492887,1364824441,64.0,1403030001011703030035a915c613004e31c01ad564d8d01e6f2de2dc38b0286f6ab042ffecec42ca497c98780050e27e32
614,1617359227.536238,150.242.169.100,192.144.188.38,TCP,64088,7823,A,723492887,1364824441,560.0,1403030001011703030035a915c613004e31c01ad564d8d01e6f2de2dc38b0286f6ab042ffecec42ca497c98780050e27e32
614,1617359227.536757,150.242.169.100,192.144.188.38,TCP,64088,7823,A,723493447,1364824441,560.0,e227ff2c39288ce1bd0222443dff67c5360c483fefb9c7b7073ff6519b46a9d55c2fd9ebfeb63b41600b1d933a0c535d6444
266,1617359227.536779,150.242.169.100,192.144.188.38,TCP,64088,7823,PA,723494007,1364824441,212.0,02fabef9955fefae80c9cec459c2546713a0119ee91cec764b9832c82c3ec2fa0cad9bab27779be7388521f279a47216faf6
66,1617359227.537591,192.144.188.38,150.242.169.100,TCP,7823,64088,A,1364824441,723493447,,
60,1617359227.538001,192.144.188.38,150.242.169.100,TCP,7823,64088,A,1364824441,723494007,,
60,1617359227.538011,192.144.188.38,150.242.169.100,TCP,7823,64088,A,1364824441,723494219,,
205,1617359227.538101,192.144.188.38,150.242.169.100,TCP,7823,64088,PA,1364824441,723494219,151.0,17030300923a732d239e8d02329eff579226c5e2432e5b2a0fdbe583bfd77ea9e3fbac9a8fd86fcaa107f218aa5bc1637795
60,1617359227.540586,150.242.169.100,192.144.188.38,TCP,64088,7823,A,723494219,1364824592,,
180,1617359227.544994,150.242.169.100,192.144.188.38,TCP,64088,7823,PA,723494219,1364824592,126.0,17030300795d1a043edc2e4c7dfcb9f3282e9ecb1759d595bed53d2658844174e1bba5e603db37fbce47de4503c5b03da2ac
